Ax,Ay,Az,Gx,Gy,Gz
-0.53,-1.44,-0.07,-0.44,-1.29,0.17
-0.49,-1.33,-0.15,-0.56,-1.28,-0.37
-0.51,-1.29,-0.32,-0.84,-1.49,-0.66
-0.42,-1.19,-0.30,-0.45,-1.24,-0.99
-0.39,-1.14,-0.35,-0.33,-1.24,-1.04
-0.33,-1.12,-0.41,-0.43,-1.11,-1.26
-0.29,-1.04,-0.48,-0.51,-0.66,-1.25
-0.18,-0.91,-0.56,-0.36,-0.31,-1.33
-0.13,-0.86,-0.62,-0.29,0.19,-1.27
-0.01,-0.76,-0.68,-0.13,0.72,-1.21
0.02,-0.78,-0.56,-0.16,1.48,-0.96
0.09,-0.67,-0.31,-0.03,1.65,-0.74
0.07,-0.69,-0.27,-0.07,1.55,-0.03
0.10,-0.66,-0.16,0.14,1.62,0.19
0.09,-0.68,-0.07,0.19,1.60,0.58
0.09,-0.68,0.05,0.36,1.38,0.83
0.13,-0.65,0.14,0.56,1.20,0.95
0.05,-0.77,0.30,0.58,0.94,1.30
-0.00,-0.90,0.32,0.20,0.53,1.32
-0.11,-1.02,0.32,-0.13,0.24,1.30
-0.29,-1.18,0.16,-0.56,0.07,1.15
-0.33,-1.20,0.14,-0.21,-0.46,0.92
-0.33,-1.22,0.10,-0.02,-0.90,0.80
-0.42,-1.34,0.04,-0.12,-1.05,0.52
-0.43,-1.37,0.02,-0.05,-1.34,0.24
-0.48,-1.41,-0.17,-0.61,-1.37,-0.05
-0.49,-1.36,-0.31,-0.48,-1.70,-0.46
-0.41,-1.27,-0.41,-0.44,-1.23,-0.99
-0.33,-1.15,-0.40,-0.31,-0.98,-1.13
-0.30,-1.11,-0.45,-0.34,-0.77,-1.21
-0.22,-1.03,-0.50,-0.33,-0.45,-1.36
-0.11,-0.91,-0.56,-0.18,-0.07,-1.41
-0.04,-0.86,-0.46,0.00,0.34,-1.21
-0.03,-0.82,-0.37,0.07,0.69,-1.09
0.04,-0.74,-0.34,0.07,0.87,-0.81
0.09,-0.70,-0.35,0.13,1.03,-0.60
0.17,-0.62,-0.23,-0.02,1.38,-0.26
0.18,-0.65,-0.26,-0.08,1.34,0.16
0.18,-0.68,-0.20,-0.03,1.50,0.41
0.20,-0.67,-0.03,0.36,1.41,0.57
0.15,-0.69,0.14,0.76,1.11,0.98
0.06,-0.79,0.15,0.22,0.98,1.18
-0.05,-0.88,0.24,-0.02,1.03,1.36
-0.19,-1.03,0.24,-0.15,0.69,1.38
-0.26,-1.08,0.40,0.06,0.37,1.27
-0.33,-1.14,0.47,0.09,-0.32,1.13
-0.39,-1.23,0.26,-0.55,-0.77,0.93
-0.40,-1.24,0.13,-0.74,-1.15,0.59
-0.34,-1.23,-0.06,-0.38,-1.38,0.25
-0.43,-1.24,-0.15,-0.55,-1.72,0.29
-0.47,-1.36,-0.49,-0.89,-1.74,-0.10
-0.59,-1.41,-0.42,-0.46,-1.19,-0.51
-0.49,-1.29,-0.45,-0.08,-0.89,-1.10
-0.40,-1.16,-0.41,0.12,-0.72,-1.36
-0.28,-1.04,-0.35,0.07,-0.45,-1.38
-0.16,-0.94,-0.45,-0.32,-0.09,-1.49
-0.03,-0.84,-0.52,-0.13,0.16,-1.40
-0.02,-0.83,-0.42,0.15,0.61,-0.97
0.00,-0.83,-0.38,0.24,0.71,-0.78
0.01,-0.83,-0.33,0.17,1.04,-0.65
0.05,-0.78,-0.28,0.39,1.21,-0.45
0.08,-0.69,-0.13,0.74,1.29,-0.24
0.15,-0.66,0.01,0.44,1.43,0.18
0.09,-0.69,0.04,0.21,1.49,0.49
0.04,-0.72,0.23,0.45,1.45,0.74
0.05,-0.71,0.36,0.52,1.19,0.87
0.01,-0.68,0.46,0.05,0.79,1.18
-0.13,-0.90,0.38,-0.34,0.44,1.31
-0.18,-0.92,0.32,-0.88,0.35,1.24
-0.26,-1.03,0.18,-0.90,0.01,1.21
-0.37,-1.22,0.00,-0.84,-0.26,1.03
-0.45,-1.30,-0.01,-0.44,-0.74,0.85
-0.48,-1.34,0.12,0.42,-1.02,0.55
-0.51,-1.35,0.09,0.03,-1.31,0.25
-0.48,-1.28,0.05,-0.79,-1.16,-0.19
-0.57,-1.33,-0.22,-1.37,-1.39,-0.39
-0.54,-1.32,-0.50,-0.97,-1.62,-0.88
-0.45,-1.20,-0.46,-0.50,-1.12,-1.34
-0.38,-1.09,-0.45,-0.33,-0.80,-1.50
-0.22,-0.93,-0.53,-0.46,-0.44,-1.59
-0.17,-0.93,-0.63,-0.42,-0.08,-1.46
-0.04,-0.80,-0.59,0.06,0.29,-1.38
-0.01,-0.76,-0.62,0.05,0.85,-1.08
0.02,-0.67,-0.43,0.30,1.34,-0.86
0.08,-0.62,-0.33,0.41,1.65,-0.55
0.11,-0.63,-0.15,0.13,1.71,-0.19
0.12,-0.61,-0.19,0.02,1.60,0.29
0.16,-0.59,-0.07,0.19,1.49,0.67
0.08,-0.69,0.09,0.36,1.52,1.06
0.06,-0.71,0.19,0.22,1.20,1.26
-0.10,-0.93,0.17,-0.08,0.74,1.50
-0.21,-1.00,0.24,-0.29,0.54,1.45
-0.33,-1.10,0.24,-0.13,0.10,1.33
-0.39,-1.11,0.28,-0.10,-0.29,1.13
-0.39,-1.10,0.22,-0.16,-0.83,1.03
-0.46,-1.23,-0.01,-0.44,-1.24,0.83
-0.49,-1.31,-0.06,-0.50,-1.05,0.49
-0.52,-1.36,-0.16,-0.26,-1.23,0.16
-0.49,-1.30,-0.14,-0.16,-1.35,-0.11
-0.53,-1.28,-0.18,-0.55,-1.35,-0.33
-0.54,-1.28,-0.36,-0.70,-1.27,-0.75
-0.49,-1.18,-0.41,-0.52,-1.19,-1.16
-0.42,-1.07,-0.48,-0.22,-1.00,-1.44
-0.31,-0.98,-0.47,-0.25,-0.55,-1.52
-0.21,-0.92,-0.55,-0.35,-0.23,-1.51
-0.10,-0.83,-0.57,-0.20,0.11,-1.39
0.00,-0.75,-0.52,0.07,0.55,-1.12
0.03,-0.69,-0.44,-0.02,1.11,-0.76
0.07,-0.67,-0.37,-0.12,1.35,-0.41
0.12,-0.62,-0.39,-0.00,1.55,-0.01
0.02,-0.67,-0.12,-0.16,2.48,0.63
-0.03,-0.75,-0.16,0.24,1.20,0.81
0.04,-0.71,-0.07,0.32,1.36,0.73
-0.04,-0.76,0.03,0.40,1.25,1.09
-0.05,-0.76,0.24,0.57,1.29,1.23
-0.15,-0.86,0.20,-0.07,0.48,1.44
-0.36,-1.04,0.18,-0.29,0.39,1.40
-0.40,-1.08,0.25,-0.02,-0.10,1.27
-0.46,-1.18,0.14,-0.18,-0.45,0.95
-0.50,-1.24,0.10,-0.20,-0.81,0.75
